id,name,description,manufacturer,price
12244614697089679523,production prem cs3 mac upgrad,adobe cs3 production premium mac upgrade from production studio premium or standard,adobe software,805.99
5781318040297863663,ipswitch wd-1000-0900 ws_ftp pro 9 sdk w/ ws_ftp pro,no description available,ipswitch,325.51
9949258255997064102,money prem 2007 cd minibox,money premium 2007 win32 english north america us only cd mini box non-rebate,microsoft,63.99
9761533219806554318,adobe indesign cs3 for mac upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,205.99
18226456193742595288,bamboo technology llc vault360 combo,capitalizing on the popularity of the ipod psp and zen vision vault360 combo allows consumers to transfer dvd's vcd's svcd's recorded tv or video files and now the addition of music and photos stored on their computers or from disc and,,24.58
18172308291108986699,phillip keveren disney's the little mermaid/beauty and the beast,1. fathoms below 2. daughters of triton 3. part of your world 4. under the sea 5. part of your world reprise 6. poor unfortunate souls 7. les poissons 8. kiss the girl 9. belle 10. belle reprise 11. gaston 12. gaston reprise 13. be our guest 14. ...,,23.59
18195210518723634061,encore inc adventure workshop preschool-1st grade 8th edition,introduce your child to an exciting on-screen learning environment brimming with award-winning adventures that will build essential skills while having fun. introduce your child to an exciting on-screen learning environment brimming with award-winni,,17.1
9757350103424139605,micromat podlock ipod utility software,system requirements: a macintosh running mac os x 10.3 or greater. an ipod.,,39.99
10851688356333529622,jungle software gorilla standard 4.0 film production,power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution,,269.99
17911312393691300802,roxio inc stopzilla 4.0,cnet editors? choice award winner! stopzilla?s true real-time® protection is unbeatable. it detects and destroys spyware and pop-ups and blocks online threats including phishing attacks. stopzilla?s superior technology delivers daily updates,,26.14
17886724437749928713,masque publishing sportsmans double play with american billiards,features sportsman's double play and american billiards. sportsman's double play includes sport fishing professionaland sport shooting. american billiards includes 8-ball 9-ball snooker and more.,,17.55
8317633865991250636,apple shake 4.1 mac os x,mac system requirements power mac g5; power mac g4 or powerbook g4 with 1ghz or faster powerpc g4 processor; or any intel core-based macintosh computer mac os x v10.4.6 or later quicktime 7.0.4 or later 512mb of ram or more 1gb of available disk ...,,499.99
17771223071817478541,mcafee inc total protection 2007 3-user,mcafee® total protection peace of mind for your entire family today the variety of threats to your pc fi les and online identity is bewildering.viruses spyware hackers spam and emailscams online predators identitythie,,92.51
15577341303347278445,ubisoft brothers in arms: road to hill 30 (pc) thers in ar,super fast shipping - platinum reseller ratings - over 12 years in business,,19.99
17293813878683470763,sos aggregation company airline tycoon deluxe - topware interactive,this economy simulator lets you manage every detail involved with running an airline. create the safest flying experience for your passengers and reap the rewards system requirements: g4/5 @ 1 ghz * 384 mb ram * cd rom * 200 mb hard drive space,,15.95
17322311354110627719,re:launch carrara 5 pro,carrara 5 pro enables artists to build a complete animated project from start to finish -- all with a single piece of software. it multitude of features give you a robust suite of modeling animation and rendering tools. from the multiple modelers ...,,445.3
2233807276870300519,iris readiris pro 11 mac ocr,system requirements os: g3 processor. mac os x 10.3 or higher scanner compatibility: all twain compatible scanners hd space : 110 mb free ram: 32 mb free,,109.99
17357728675180341663,encore inc print shop 22 deluxe,new! version 22. everything you need to create fantastic print projects including powerful new photo editing features to make the most of your photos. system requirements: windows® 2000 sp4/xp (home and pro) sp1³ pentium® iii 500mhz p,,42.69
2838840999646798655,apple garageband jam pack: remix tools,system requirements requires garageband (installed with ilife '04 or '05)* logic express 7 or logic pro 7. soundtrack supports loops only in jam packs. macintosh computer with g3 600mhz processor or higher to use apple loops (g4 or g5 required for ...,,95.99
17083097999546756325,topics entertainment audio success suite edition:sales success,the audio success series is a premium line of personal productivity recordings featuring acclaimed content from renowned motivators and success coaches and designed for people on the move. ever wished you could take time out of your hectic business ...,,12.05
16952776452110398384,palo alto software business plan pro 2007,business plan pro 2007 is the 1 selling business planning software providing everything you need to produce a profession business plan that gets results. system requirements: cd-rom enclosed (no cd-rom with download only ord,,88.83
16917437492135092265,nc interactive inc guild wars nightfall,when a corrupt ruler summons the power of an outcast god and infects the land with a creeping darkness it will take a band of heroes to save elona. guild wars nightfall is the roleplaying game gamers have been waiting for ? an intimate heroic ...,,48.27
1267940675828545901,iview mediapro 2.6 media management,product datasheet (pdf: 1.1mb) system requirements macintosh ? powerpc or newer such as imac g3 g4 ? mac os 9.1.x or mac os x (10.1.x) ? carbonlib 1.5 ? quicktime 6.x ? 8 mb of ram (os 9 allocation) ? monitor set to thousands or millions ? 13 mb ...,,155.99
866471509127749885,makemusic finale 2007 academic create edit and print sheet music,finale 2007 for macintosh® g4 or higher recommended. os 10.3.9 and higher. cd or dvd-rom drive. 800x600 minimum monitor resolution. minimum 256mb ram (1gb or more recommended for optional use of garritan sounds / kontakt player: more ram = more ...,,269
1887899244694755891,caillou magical adventures by brighter minds,macintosh minimum requirements: os 9.x - 300mhz g3 os x (classic mode only) - 400mhz g4 64mb ram 32mb free ram (os 9 only) 50mb free hard drive space 4x cd-rom drive 16-bit color video card 800 x 600 resolution mouse or other pointing device,,19.99
17724977097925207764,allume systems inc mediarecover,mediarecover retrieves your lost photos audio and videos from your cameras pdas and cellular phone's removable memory devices. system requirements: microsoft windows xp or vista or macintosh os x 10.3.9 or higher universal binary. com,,26.14
17708766593513600591,corel corporation dvd movie factory 6 plus retial (english),ulead® dvd moviefactory® 6 plus is easy-to-use disc authoring and burning software for today?s digital lifestyle. put your favorite standard or high definition home movies shows or sports on dvds with professional-style menus. supports h,,74.08
17615743519264436737,onone software essentials for adobe photoshop elements version 2 - full,,,59.33
17456162504360585884,topics entertainment snap! kakuro,snap! kakuro is the big sister to the popular number logic game sudoku. in kakuro follow mathematical clues to fill in an irregularly-shaped grid to complete the puzzle- it's a crossword for numbers instead of words! system requirements:,,3.44
17424435152951418977,individual software inc systemsuite 8 professional (us pos),,,46.42
17471276055285923188,re:launch piano wizard premier software & stickers & midi cable,piano wizard? is an amazingly simple pc video game that teaches virtually anyone to play the piano in minutes. includes software 200 songs/lessons colored stickers and usb/midi cable to connect a midi keyboard. add 1000?s of songs with the p,,113.86
2062975649512805986,3d home architect home v.8by encore software,3d home architect home v.8by encore software,,33.92
9847776401829585115,encore software 11670 - who wants to be a millionaire? - win xp 2000,encore software 11670 : based on abc s hit tv show who wants to be a millionaire america s favorite trivia game is back with new and more complex questions! system requirements: windows 2000 sp4 / xp (home & pro) sp2³ pentium class processor 200 ...,,7.69
4081985616275580076,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199
1021042895134770712,encore software 10123 - aquarium 3-in-one limited edition (eurpac) - win 95 98 me 2000 xp,encore software 10123 : experience the 1 selling screensaver of all time marine aquarium plus goldfish aquarium and sharks. an amazing collection packed with stunning vibrance and detail. system requirements: pc: windows 98se/me/2000 sp4/xp (home ...,,18.97
712876185653102576,individual software resume maker professional deluxe 12.0,resumemaker is packed with powerful features to help you write better resumes land better jobs and earn higher salaries. whether you're actively searching for a job ready to advance your career or just want to get your resume into shape trust ...,,29.99
6628446350064818078,encore software 14060 - terror strike - win 2000 xp,encore software 14060 : cto: counter-terrorist ops close-quarters assault is a tense accurate simulation of close quarters combat. lead four-man teams in assaults on terrorist strongholds. rescue hostages held at gunpoint. recreate the deadly ...,,18.97
16814254064816255791,prosoft engineering data rescue universal license,do you have a corrupt hard drive or one that no longer mounts? are other tools failing to even recognize your bad drive? did you accidently delete pictures from your digital camera? data rescue is the best data recovery utility on the market for re,,236.34
18341451742874553099,adobe cs3 design premium upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 6.3gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,619.99
14054232840925252286,adobe cs3 design standard upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 5.3gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,413.99
13255609368261584070,wingnuts 2: raina's revenge,system requirements: mac os x 10.4+ g4/g5/intel 800+ mhz cpu 512 mb ram 32 mb video card 950 mb hard drive space,,28.99
13809600021930717984,john deere: busy days in deerfield valley by bold games,system requirements: mac: power mac g3 800mhz or faster processor with 128mb ram os x v10.1.5 or higher 350mb hard drive space cd-rom drive. windows: windows® me/xp/2000 with a pentium iii 800 mhz or faster with 128mb ram 350mb hard drive space cd ...,,21.99
11927579066669830952,age of empires iii: warchiefs expansion pack,,,34.95
7954126691882273345,sony media software acid pro 6 software music production software,acid pro 6 loop based music production software for windows special offer acid pro 6 from sony media software is a loop-based music creation tool that allows for the production of original royalty-free music. songs can be created tracks re-mixed ...,,299.95
257434657988780139,steinberg cubase studio 4 software music production software,cubase studio 4 - music production system for mac os x and windows xp special offer cubase studio 4 from steinberg is an audio/midi editor/recorder software program tailored to project studios and creative musicians. built around the same core ...,,399.99
4823291609006887387,reader rabbit preschool,overview reader rabbit and sam the lion are on a sparkly adventure! the land of sparkalot has lost its shine and needs your help to re-sparkle everything from the stars to the flowers. your pre-reading counting and matching skills could save the ...,,17.9
18398718226932431716,ilife '06 mac - apple - ma166z/a,ilife '06 the must-have update to apple's award-winning suite ofdigital lifestyle applications delivers major upgrades to iphoto imovie hd idvd and garageband plus an innovative new applicationcalled iweb for creating stunning web pages blogs ...,,47.8 gbp
18394964067436310447,microsoft windows vista home basic upgrade (pc),key features: easy to set up and use improved reliability added security parental controls ...,,99.99
18391195855196917401,symantec 11859201 be sys recovery 7.0 win sbs ed media cd m/l,be sys recovery 7.0 win sbs ed media cd m/l,,31.98
18389952572089446651,computer associates babwbr1151s05 bab r11.5 sp1 dro win m/l cd,bab r11.5 sp1 dro win m/l cd,,431.16
18384557845547191313,east west bosendorfer 290,the pristine bosendorfer 290 piano library has finally captured all of the beauty of this piano. up to 16 velocity layers true release samples true re-pedalling and two different microphone positions (close and ambient) for ultimate ambience ...,,175.97
18424464601572004274,passwords plus ( v. 1.0 ) - complete package,passwords plus - ( v. 1.0 ) - complete package - 1 user - win palm os - 128-bit,,28.5
18422068306669698354,microsoft h22-00301 gov open sa project svr w9x nt,gov open sa project svr w9x nt,,1995.12
18414778073602422524,coreldraw graphics suite x3 upgrade windows,brand new factory sealed software or accessories from a pro merchant. over 1 million new and used books movies games software and cds available. in business since 1986. satisfaction guaranteed.we offer free shipping when you purchase five or ...,,184.5
18413075895200367717,microsoft 392-02322 ae frontpage 2003,microsoft frontpage academicmodel- ms-cd34597wiaevendor- microsoft corporation** academic authorized version **features- microsoft frontpage 2003 frontpage 2003 provides the features flexibility and functionalityto help you build better web sites. ...,,87.99
18446496383812786183,cookn vegetarian,the diet choice for many world cultures for millennia vegetarian cuisine is widely recognized as innovative exciting and appetizing as well as healthy. with cookn vegetarian you have the benefit of healthy foods in half the time.,,19.99
18446612824766852081,hidden expedition: titanic,immerse yourself in an epic expedition. as part of the hidden expedition adventure league it is your job to explore the wreckage of the once majestic ship & collect antique artifacts for the titanic museum. collect treasures for the titanic museum. ...,,15.5
18435517580056006507,pantone gps206 - reference library,pantone gps206 : pantone product reference library. replaces gps203. a perfect tool for desgin firms print shops corporate communications or anyone who requires a complete source for graphic color choices. *****direct ship only.********* no returns ...,,907.97
18438075297130458214,encore tlc dr seuss reading learning system 2008,mpn: 13880,,17.9
4377533611520192512,hijack2 identity and data security suite,prevent thieves from accessing any of your personal data! fbi statistics show that 97% of all stolen laptop computers are never recovered! just when you least expect it your computer can go missing. all of your personal information; banking credit ...,,44.9
15481209573698256416,encore software 10931 - the print shop design suite proed sb cs by the print shop,encore software 10931 : encore software the print shop design suite proed sb cs by the print shop - 10931 specifications : manufacturer : encore inc manufacturer part number : 10931,,105.97
11267581873345425673,resume writer deluxe,write the perfect resume and get the perfect job is a powerful and cost-effectivedo-it-yourself resume-creation and management program. no matterwhat your job search situation is resume writer deluxe places at your disposal the accumulated ...,,12.9
13970926731293955146,motu digital performer dp5 software music production software,digital performer 5 (dp5) multi-track audio/midi recorder/editor software for mac os x - educational discount or competitive upgrade digital performer 5 from motu is an integrated midi and audio sequencer suitable for studio recording film scoring ...,,319.95
15883771067913561390,middle school math & science,overview your children will learn how to apply the concepts step by step with easy-to-follow examples. lay the foundation for math and science success. turn even the most difficult subjects into achievement opportunities with expert instruction ...,,12.9
17010841797296818807,movies on psp,xoom movies on psp enables you to quickly convert your dvds or movie files into a format your psp can read and understand. get the best possible picture and audio quality for 10 different input formats: dvd (s)vcd divx avi wmv real mpeg quicktime ...,,15.9
14443748429238960679,phonics success deluxe 2006,overview phonics success deluxe 2006give the student in your life the chance to maximize reading skills with phonics success deluxe 2006. the self-paced instructional course is an award-winning educator-endorsed system that utilizes absorbing ...,,22.9
9755705822363275907,autodesk combustion 4.0 compositing software - win compositing software,combustion 4.0 professional compositing software - win autodesk combustion 4 software is an all-in-one professional compositing application designed to meet the needs of the world's most demanding artists. with its easy-to-use interface ...,,889
4682448981783641744,adobe after effects professional 7.0 software effects software,after effects professional 7.0 software for mac os x the after effects professional 7.0 software for mac os x from adobe is a powerful 2d and 3d compositing software suite. it features hundreds of effects and animation presets to bring a new ...,,998.95
5216140459207502478,corel ulead dvd moviefactory plus 6 software for windows authoring software,dvd moviefactory plus 6 software for windows the dvd moviefactory plus 6 software for windows from corel ulead allows you to create and burn dvd discs on your home computer. you'll be able to copy and edit dvd discs and print disc labels. dvd menu ...,,79.95
18356638685856745200,isi researchsoft 5229 endnote 9 academic (schools faculty & non-academics),search online bibliographic databases organize their references and images and create bibliographies and figure lists instantly with endnote 9. 5229 isi researchsoft,isi researchsoft,98.99
18354430457145981051,topics entertainment 80542 instant immersion french 2.0 781735805428,topics entertainment 80542 instant immersion french 2.0 781735805428,,18.2
14798220155665223365,bias peak pro 5 software music production software,peak pro 5 - audio editing processing and mastering software - mac os x good audio editors are like swiss army knives. they perform all of their multiple tasks equally well an equal number of tools to execute them. peak pro 5 from bias is for the ...,,499
18360307000127444765,guild 2: pirates of the seas,the first true life simulation series set in the fascinating medieval times! the add-on expands and transforms the game into an even greater experience by adding a huge area including the cities of the hanse located at the shores of the european ...,,23.99
18365507478568694929,microsoft 059-03871 molpc word sa,molpc word sa,,111.78
6247936198343071793,punch software 41100 punch! home design architectural series 18,architectural series 18 provides innovative new tools to unleash your design creativity. novice or pro punch! architectural series 18 has the tools and flexibility to have anyone designing a professional-looking home design quickly and easily. a ...,punch software,118.99
18369825056478487049,aspyr media 10900 star wars battlefront mac,battle in more than 12 environments across 10 diverse planets from the classic trilogy and clone wars eras including: hoth endor tatooine kamino and geonosis. star wars battlefront is an action/shooter game that gives fans and gamers the ...,aspyr media,39.99
18371727039035112852,flyboys squadron mac,,,24.99
9167720084838534914,sony media software cinescore soundtrack creation software audio software for video,cinescore - professional soundtrack creation software for windows 2000/xp cinescore from sony media software is software that automatically generates an unlimited number of custom music tracks for various video projects. the software includes a dvd ...,,179.95
18374143831267894200,sound studio 3 for mac,easytouse mac os x application for recording and editing audio digitally to your computer digitize vinyl records and tapes record live performances create mixes with crossfades tweak levels and eq apply digital and save in file formats repair ...,,79.99
3987149121723701537,punch software 26100 - punch! master landscape & home design - architectural - 1 user(s) - pc,punch software 26100 : punch! master landscape & home design includes breakthrough photoview technology and plantfinder sortable database with over 2000 landscape plants. 9 programs in one intuitive easy-to-use interface... powerful tools to help ...,,45.97
3437735654737897918,encore software 10463 - clickart fonts (2006) by encore,encore software 10463 : clickart fonts (2006) by encore - 10463,,17.97
12250274471957898660,encore software 33027 - hoyle texas holdem (win 98 me 2000 xp),encore software 33027 : hoyle texas hold em lets you test your skills at the 1 poker game around plus a bonus of 13 other poker games! system requirements: windows 98/me/2000/xp pentium 166 mhz processor or faster 35 mb hard disk space 16 mb ram ...,,8.44
8664755713112971171,encore software 10027 - hoyle board games (win 98 me 2000 xp),encore software 10027 : hoyle board games offers a game for every player with 18 classic board games. also included is hoyle maximum pool 12 different pool games for free! system requirements: windows 98se/me/2000 sp4/xp sp1 pentium ii 233 mhz ...,,7.47
30822033968544493,computer associates babwbr1151s33 - brightstor arcserve backup client for vss software snap-shot v.11.5 for windows with service pack 1 - add-on - backup & recovery - 1 server(s) - complete product - standard - multilingual - pc,computer associates babwbr1151s33 : the brightstor arcserve backup client for vss software snap-shot enables brightstor arcserve backup customers to leverage microsoft windows server 2003 volume shadow copy service (vss) software snapshot technology ...,,799.97
407742822135371560,corel ulead dvd workshop 2 authoring software,dvd workshop 2 ulead dvd workshop 2 is powerful and intuitive authoring software for professional dvd creation. much of the features were designed with the professional in mind keeping interfaces simple and straightforward but also providing complex ...,,299.95
2461116331238857888,adobe photoshop cs3 extended software full version for macintosh,adorama camera: ideal for film video and multimedia professionals and graphic and web designers using 3d and motion as well as professionals in engineering and science adobe photoshop cs3 extended software delivers everything in photoshop cs3 ...,,969
251538724524961694,apple software m9372z/a final cut express 2.0 upgrade,now optimized for the power mac g5 and mac os x panther apples feature-rich dv editing software is designed for the complete beginner aspiring filmmaker educator and experienced dv editor alike. create professional-quality video with final cut ...,apple software,79.99
13804410937823415271,aquarium 3-in-one limited edition (win 95 98 me 2000 xp/mac 10.1 or higher),an amazing collection so vibrant and realistic you won t believe your eyes! experience the 1 selling screensaver of all time marine aquarium plus goldfish aquarium and sharks. gorgeous details have gone into creating the high-resolution 3d fish ...,,19.95
13775362651326388438,restricted area (win 98 me 2000 xp),action packed cyber-punk rpg which brings you into a dark and fascinating future world similar to matrix and bladerunner. play as one of four unique characters each with different and specialized skills. unlimited computer generated sub-quests and ...,,19.99
13368045031336320583,bling software limited safekeeper plus,safekeeper plus is the first software product that offers total protection for both your family and computer. it's the only product to offer the kid safe blocker family watchdog and safety shield. safekeeper plus has the best anti-virus protection ...,,39.99
1832664201831888645,punch software 35100 punch! professional home design suite (small box),12 powerful programs in one gives you total control over every phase of your home design project including electrical and mechanical systems! 12 integrated programs in one easy-to-use interface. professional home design suite includes 3d home design ...,punch software,62.99
5408845339376590167,m-audio pro tools m-powered mpowered 7.3 software music production software,pro tools m-powered 7.3 - pro tools software for digidesign pro tools m-powered systems - mac os x and windows xp pro tools m-powered 7.3 from digidesign is a major update to its core software providing additional composition tools customizable user ...,,249
5964541247628078613,global software a0447jch - dk smart steps 2nd grade - win 95 98 me 2000 xp vista,global software a0447jch : this cd by dk (dorling kindersley) is the most complete learning system for your child. developed by dedicated educators smart steps covers the complete second grade core curriculum along with lots of creative activities ...,,9.08
4018509382848032799,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199
10092468528845066077,microsoft office 2004 for students and teachers (mac),key features: for mac for student and teachers full-featured programs word processing spreadsheets create presentations...,,134.99
11463298814554093369,podmaxx '07 eb carlson,key features: burn music from your ipod create ringtones rip dvds to your ipod protect your music ...,,29.99
9255722138583214734,microsoft office outlook 2007,key features: manages time and info works with sharepoint enhanced search one-click functionality create internet calendars enhanced security ...,,109.95
5976779863499710865,apple software t9164ll/a logic express 6,logic express offers the same flexibility reliability ease of use and precision as its big brother logic pro 6 but at a price point that fits the budget of aspiring pros students and hobbyists give your ideas creative freedom with logic ...,apple software,219
10621416214836586442,punch software 41100 punch! home design architectural series 18,architectural series 18 provides innovative new tools to unleash your design creativity. novice or pro punch! architectural series 18 has the tools and flexibility to have anyone designing a professional-looking home design quickly and easily. a ...,punch software,118.99
13778334917246964953,weekly reader preparing for kindergarten 2008 (pc/mac) fogware,key features: interactive questions encourages creativity develops motor skills engaging activities tracks student progress ages 3-5 ...,,19.99
