name,address,city,cuisine,unique_id
main course  the, 10509 w. pico blvd., rancho park, american,573
main street, 446 columbus ave.  between 81st and 82nd sts., new york, american,298
majestic, 1031 ponce de leon ave., atlanta, diners,703
mambo restaurante cubano, 1402 n. highland ave., atlanta, caribbean,406
mandarin court, 1510 e. flamingo rd., las vegas, asian,443
mangia e bevi, 800 9th ave. at 53rd st., new york, italian,299
manhattan cafe, 1161 1st ave.  between 63rd and 64th sts., new york, american,300
manhattan ocean club, 57 w. 58th st., new york, seafood,45
manila garden, 325 e. 14th st.  between 1st and 2nd aves., new york, asian,301
manis bakery & espresso bar, 519 s. fairfax ave., la, desserts,574
manora, 3226 mission st., san francisco, asian,494
march, 405 e. 58th st., new york, american,46
margaritas mexican cantina, 3120 las vegas blvd. s, las vegas, mexican,444
marichu, 342 e. 46th st.  between 1st and 2nd aves., new york, french,302
marios bohemian cigar store cafe, 2209 polk st., san francisco, italian,737
marnee thai, 2225 irving st., san francisco, thai,738
marnies noodle shop, 466 hudson st., new york city, asian,626
marquet patisserie, 15 e. 12th st.  between 5th ave. and university pl., new york, coffee bar,303
marthas, 22nd street grill 25 22nd, st. hermosa beach, american,575
mary macs tea room, 224 ponce de leon ave., atlanta, southern,86
marys diner, 5111 w. boulder hwy., las vegas, coffee shops/diners,445
masas, 648 bush st., san francisco, french,106
match, 160 mercer st.  between houston and prince sts., new york, american,304
matsuhisa, 129 n. la cienega blvd., beverly hills, asian,14
matthews, 1030 3rd ave. at 61st st., new york, american,305
mavalli palace, 46 e. 29th st., new york, asian,306
maxwells cafe, 13329 washington blvd., marina del rey, american,576
mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese,663
maykadeh, 470 green st., san francisco, greek and middle eastern,495
mccormick & kuletos, ghirardelli sq., san francisco, seafood,496
mckinnons louisiane, 3209 maple dr., atlanta, southern,407
mels drive-in, 3355 geary st., san francisco, hamburgers,739
menchanko-tei, 39 w. 55th st., new york city, japanese,627
mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american,47
mi cocina, 57 jane st.  off hudson st., new york, mexican,48
mi spia dunwoody rd., park place  across from perimeter mall  dunwoody, atlanta, italian,408
michaels (las vegas), 3595 las vegas blvd. s., las vegas, continental,664
michaels (los angeles), 1147 third st., santa monica, californian,577
mifune japan center  kintetsu building, 1737 post st., san francisco, asian,107
mikado, 3400 las vegas blvd. s, las vegas, asian,446
milan cafe and coffee bar, 120 w. 23rd st., new york, coffee bar,307
millennium, 246 mcallister st., san francisco, vegetarian,497
mishima, 8474 w. third st., la, noodle shops,578
mitali east-west, 296 bleecker st., new york city, indian,628
mo better meatty meat, 7261 melrose ave., la, hamburgers,579
mon kee seafood restaurant, 679 n. spring st., los angeles, asian,147
monkey bar, 60 e. 54th st., new york, american,308
monsoon (ny), 435 amsterdam ave., new york city, thai,629
monte carlo, 3145 las vegas blvd. s., las vegas, french (new),665
montien, 1134 1st ave.   between 62nd and 63rd sts., new york, asian,309
montrachet, 239 w. broadway  between walker and white sts., new york, french,49
moongate, 3400 las vegas blvd. s., las vegas, chinese,666
mooses, 1652 stockton st., san francisco, mediterranean,498
mortons of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses,704
mortons of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses,667
mortons, 8764 melrose ave., los angeles, american,148
mortons, 551 5th ave. at 45th st., new york, american,310
motown cafe, 104 w. 57th st.  near 6th ave., new york, american,311
moustache, 405 atlantic ave., brooklyn, middle eastern,630
mos burgers, 1322 grant st., san francisco, hamburgers,740
mulberry st., 17040 ventura blvd., encino, pizza,580
my thai, 1248 clairmont rd., atlanta, thai,705
nate n als, 414 n. beverly dr., los angeles, american,149
nava, 3060 peachtree rd., atlanta, southwestern,706
new york kom tang soot bul house, 32 w. 32nd st., new york, asian,312
new york noodletown, 28 1/2 bowery at bayard st., new york, asian,313
newsbar, 2 w. 19th st., new york, coffee bar,314
nickiemotos: a sushi bar, 247 buckhead ave.  east village sq., atlanta, fusion,409
nicky blairs, 3925 paradise rd., las vegas, italian,668
nicola, 601 s. figueroa st., los angeles, american,150
nikolais roof, 255 courtland st.  at harris st., atlanta, continental,87
nobu, 105 hudson st., new york city, japanese,631
north india, 3131 webster st., san francisco, asian,499
nuevo laredo cantina, 1495 chattahoochee ave. nw, atlanta, mexican,707
ocean avenue, 1401 ocean ave., santa monica, american,151
ocean park cafe, 3117 ocean park blvd., santa monica, american,581
ocean star, 145 n. atlantic blvd., monterey park, seafood,582
oceana, 55 e. 54th st., new york, seafood,50
odeon, 145 w. broadway at thomas st., new york, american,315
one if by land  tibs, 17 barrow st., new york city, continental,632
one market, 1 market st., san francisco, american,500
original pancake house (at), 4330 peachtree rd., atlanta, american,708
original pantry bakery, 875 s. figueroa st. downtown, la, diners,583
oritalia, 1915 fillmore st., san francisco, italian,501
orleans, 11705 national blvd., los angeles, cajun,152
orso, 322 w. 46th st., new york, italian,316
osteria al droge, 142 w. 44th st., new york, italian,317
otabe, 68 e. 56th st., new york, asian,318
oyster bar, lower level, new york city, seafood,633
pacific dining car, 6th st., los angeles, american,153
pacific pan pacific hotel, 500 post st., san francisco, french,502
pacifica, 138 lafayette st.  between canal and howard sts., new york, asian,319
palace court, 3570 las vegas blvd. s, las vegas, continental,70
palio dasti, 640 sacramento st., san francisco, italian,503
palio, 151 w. 51st. st., new york, italian,320
palisades, 1829 peachtree rd., atlanta, continental,410
palm  the (atlanta), 3391 peachtree rd. ne, atlanta, steakhouses,709
palm too, 840 second ave., new york city, steakhouses,635
palm, 837 second ave., new york city, steakhouses,634
pamir, 1065 1st ave.  at 58th st., new york, middle eastern,321
pamplemousse, 400 e. sahara ave., las vegas, continental,447
pane e vino, 3011 steiner st., san francisco, italian,504
panos and pauls, 1232 w. paces ferry rd., atlanta, international,88
parioli romanissimo, 24 e. 81st st., new york, italian,322
park avenue cafe, 100 e. 63rd st., new york, american,51
parkway grill, 510 s. arroyo pkwy., pasadena, californian,584
pastis, 1015 battery st., san francisco, french,505
patina, 5955 melrose ave., los angeles, californian,16
patria, 250 park ave. s at 20th st., new york, latin american,323
patsys pizza, 19 old fulton st., brooklyn, pizza,636
patys, 10001 riverside dr., toluca lake, american,154
peacock alley, 301 park ave.  between 49th and 50th sts., new york, french,324
pen & pencil, 205 e. 45th st., new york, american,325
penang soho, 109 spring st.  between greene and mercer sts., new york, asian,326
perrys, 1944 union st., san francisco, american,506
persepolis, 1423 2nd ave.  between 74th and 75th sts., new york, middle eastern,327
peter luger steak house, 178 broadway, brooklyn, steakhouses,637
petrossian, 182 w. 58th st., new york, french,52
philippes the original, 1001 n. alameda st., los angeles, american,17
phnom penh cambodian restaurant, 631 larkin st., san francisco, cambodian,741
pho hoa, 642 broadway, chinatown, vietnamese,585
picholine, 35 w. 64th st., new york, mediterranean,53
pieros restaurant, 355 convention center dr., las vegas, italian,669
pinks famous chili dogs, 709 n. la brea ave., la, hot dogs,586
pinot bistro, 12969 ventura blvd., los angeles, french,18
pinot hollywood, 1448 n. gower st., los angeles, californian,155
pisces, 95 ave. a at 6th st., new york, seafood,54
planet hollywood, 140 w. 57th st., new york, american,328
pleasant peasant, 555 peachtree st.  at linden ave., atlanta, american,411
plumpjack cafe, 3201 fillmore st., san francisco, mediterranean,108
pomaire, 371 w. 46th st.  off 9th ave., new york, latin american,329
popover cafe, 551 amsterdam ave.  between 86th and 87th sts., new york, american,330
poquito mas, 2635 w. olive ave., burbank, mexican,587
post house, 28 e. 63rd st., new york, american,331
posto, 14928 ventura blvd., sherman oaks, italian,156
postrio, 545 post st., san francisco, american,109
prego, 362 n. camden dr., los angeles, italian,157
pricci, 500 pharr rd., atlanta, italian,412
raes, 2901 pico blvd., santa monica, diners,589
rainbow restaurant, 2118 n. decatur rd., decatur, vegetarian,710
rainbow room, 30 rockefeller plaza, new york, or 212/632-5100 american,55
rain, 100 w. 82nd st., new york, asian,332
ralphs diner, 3000 las vegas blvd. s, las vegas, coffee shops/diners,448
red tulip, 439 e. 75th st., new york, eastern european,333
remi, 3rd st. promenade, santa monica, italian,159
remi, 145 w. 53rd st., new york, italian,334
republic, 37a union sq. w  between 16th and 17th sts., new york, asian,335
restaurant  ritz-carlton  atlanta, 181 peachtree st., atlanta, continental,91
restaurant horikawa, 111 s. san pedro st., los angeles, asian,160
restaurant katsu, 1972 n. hillhurst ave., los angeles, asian,10
rex il ristorante, 617 s. olive st., los angeles, italian,19
rib ranch, 25 irby ave., atlanta, barbecue,414
ritz-carlton cafe (atlanta), 181 peachtree st., atlanta, american (new),711
ritz-carlton restaurant and dining room, 600 stockton st., san francisco, american,110
river cafe, 1 water st. at the east river, brooklyn, american,56
riviera, 519 e. paces ferry rd., atlanta, mediterranean,712
rjs the rib joint, 252 n. beverly dr., los angeles, american,158
roettelle a. g, 126 e. 7th st.  between 1st ave. and ave. a, new york, continental,336
roosevelt tamale parlor, 2817 24th st., san francisco, mexican,742
rosa mexicano, 1063 1st ave. at 58th st., new york, mexican,337
roscoes house of chicken n waffles, 1514 n. gower st., los angeles, american,161
rose of india, 308 e. sixth st., new york city, indian,638
rose pistola, 532 columbus ave., san francisco, italian,111
rubicon, 558 sacramento st., san francisco, american,508
rubins red hots, 15322 ventura blvd., encino, hot dogs,590
rubys (la), 45 s. fair oaks ave., pasadena, diners,591
rumpus, 1 tillman pl., san francisco, american,509
russells burgers, 1198 pch, seal beach, hamburgers,592
ruths chris steak house (los angeles), 224 s. beverly dr., beverly hills, steakhouses,593
ruths chris, 148 w. 51st st., new york, american,338
r&g lounge, 631 b kearny st., san francisco, or 415/982-3811 asian,507
r-23, 923 e. third st., los angeles, japanese,588
r.j.s uptown kitchen & wine bar, 870 n. highland ave., atlanta, american,413
sa tsu ki, 3043 buford hwy., atlanta, asian,415
sal anthonys, 55 irving pl., new york, italian,340
sallys cafe & bakery, 300 de haro st., san francisco, american,743
sammys roumanian steak house, 157 chrystie st. at delancey st., new york, east european,341
sams noodle shop, 411 third ave., new york city, chinese,639
san domenico, 240 central park s, new york, italian,57
san francisco bbq, 1328 18th st., san francisco, thai,744
san pietro, 18 e. 54th st., new york, italian,342
sanppo, 1702 post st., san francisco, asian,510
sant ambroeus, 1000 madison ave.  between 77th and 78th sts., new york, coffee bar,343
sarabeths kitchen, 423 amsterdam ave.  between 80th and 81st sts., new york, american,344
sarabeths, 1295 madison ave., new york city, american,640
sato sushi and thai, 6050 peachtree pkwy.  norcross, atlanta, asian,416
scalas bistro, 432 powell st., san francisco, italian,511
schatzi on main, 3110 main st., los angeles, continental,162
sea grill, 19 w. 49th st., new york, seafood,345
second avenue deli, 156 2nd ave. at 10th st., new york, delicatessen,58
second street grille, 200 e. fremont st., las vegas, seafood,71
serendipity, 3 225 e. 60th st., new york, american,346
seryna, 11 e. 53rd st., new york, asian,59
seventh regiment mess and bar, 643 park ave. at 66th st., new york, american,347
sfuzzi, 58 w. 65th st., new york, american,348
shaan, 57 w. 48th st., new york, asian,349
shiro, 1505 mission st. s., pasadena, pacific new wave,594
shun lee west, 43 w. 65th st., new york, asian,60
sign of the dove, 1110 3rd ave. at 65th st., new york, american,61
silver skillet  the, 200 14th st. nw, atlanta, coffee shops,713
slanted door, 584 valencia st., san francisco, vietnamese,745
smith & wollensky, 201 e. 49th st., new york, american,62
sofia fabulous pizza, 1022 madison ave.  near 79th st., new york, italian,350
sofi, 3rd st., los angeles, mediterranean,163
soto, 3330 piedmont rd., atlanta, japanese,714
south city kitchen, 1144 crescent ave., atlanta, southern,417
south of france, 2345 cheshire bridge rd., atlanta, french,418
south park cafe, 108 south park, san francisco, french,512
spago (las vegas), 3500 las vegas blvd. s., las vegas, californian,670
spago, 1114 horn ave., los angeles, californian,20
sparks steak house, 210 e. 46th st., new york city, steakhouses,641
splendido embarcadero,4, san francisco, mediterranean,513
spring street natural restaurant & bar, 62 spring st. at lafayette st., new york, american,351
stage deli, 834 7th ave.  between 53rd and 54th sts., new york, delicatessen,352
stars cafe, 500 van ness ave., san francisco, american,515
stars, 150 redwood alley, san francisco, american,514
steak house, 2880 las vegas blvd. s, las vegas, steak houses,72
steakhouse  the, 128 e. fremont st., las vegas, steakhouses,671
stefanos, 129 fremont st., las vegas, italian,672
sterling brunch, 3645 las vegas blvd. s., las vegas, eclectic,673
stick to your ribs, 5-16 51st ave., queens, bbq,642
stingray, 428 amsterdam ave.  between 80th and 81st sts., new york, seafood,353
stoyanofs cafe, 1240 9th ave., san francisco, greek and middle eastern,516
straits cafe, 3300 geary blvd., san francisco, asian,517
stringers fish camp and oyster bar, 3384 shallowford rd.  chamblee, atlanta, southern,419
sundown cafe, 2165 cheshire bridge rd., atlanta, american,420
suppenkuche, 601 hayes st., san francisco, russian/german,518
sushi nozawa, 11288 ventura blvd., studio city, japanese,595
sushisay, 38 e. 51st st., new york city, japanese,643
swan oyster depot, 1517 polk st., san francisco, seafood,746
sweet lady jane, 8360 melrose ave., la, desserts,596
sweetntart cafe, 76 mott st. at canal st., new york, asian,354
swingers, 8020 beverly blvd., los angeles, american,164
sylvias, 328 lenox ave., new york city, southern/soul,644
szechuan hunan cottage, 1588 york ave., new york city, chinese,645
szechuan kitchen, 1460 first ave., new york city, chinese,646
s.p.q.r, 133 mulberry st.  between hester and grand sts., new york, italian,339
t salon, 143 mercer st. at prince st., new york, coffee bar,355
tadich grill, 240 california st., san francisco, seafood,519
taiko, 11677 san vicente blvd., brentwood, noodle shops,597
tang pavillion, 65 w. 55th st., new york, asian,356
tapika, 950 8th ave. at 56th st., new york, american,357
taste of new orleans, 889 w. peachtree st., atlanta, southern,421
tavern on the green, in central park at 67th st., new york, american,63
tavola calda, 7371 melrose ave., los angeles, italian,165
teresas, 103 1st ave.  between 6th and 7th sts., new york, east european,358
teresas, 80 montague st., queens, polish,647
terrace, 400 w. 119th st.  between amsterdam and morningside aves., new york, continental,359
thai house cafe, 151 hudson st., new york city, thai,648
thailand restaurant, 106 bayard st., new york city, thai,649
the bacchanal, 3570 las vegas blvd. s, las vegas, only in las vegas,449
the coffee pot, 350 9th ave. at 49th st., new york, coffee bar,360
the heights, 3235 sacramento st., san francisco, french,520
the mandarin, 430 n. camden dr., los angeles, asian,166
the palm, 9001 santa monica blvd., los angeles, american,15
the savannah club, 2420 broadway at 89th st., new york, american,361
thelmas kitchen, 764 marietta st. nw, atlanta, cafeterias,715
thep phanom, 400 waller st., san francisco, thai,747
thepin, 298 gough st., san francisco, asian,521
ti couz, 3108 16th st., san francisco, french,748
tillerman, 2245 e. flamingo rd., las vegas, seafood,73
tommy tangs, 7313 melrose ave., los angeles, asian,167
tommys, 2575 beverly blvd., la, hamburgers,598
tomtom, 3393 peachtree rd., atlanta, continental,422
ton kiang, 3148 geary blvd., san francisco, asian,522
tortillas, 774 ponce de leon ave. ne, atlanta, tex-mex,716
toulouse, b peachtree rd., atlanta, french,92
tra di noi, 3835 cross creek rd., los angeles, italian,168
trader vics, 9876 wilshire blvd., los angeles, asian,169
trattoria dellarte, 900 7th ave.  between 56th and 57th sts., new york, italian,362
tre visi, 3799 las vegas blvd. s., las vegas, italian,674
triangolo, 345 e. 83rd st., new york, italian,363
tribeca grill, 375 greenwich st.  near franklin st., new york, american,364
trio cafe, 1870 fillmore st., san francisco, american,749
trois jean, 154 e. 79th st.  between lexington and 3rd aves., new york, coffee bar,365
tse yang, 34 e. 51st st., new york, asian,366
tu lan, 8 sixth st., san francisco, vietnamese,750
turkish kitchen, 386 3rd ave.  between 27th and 28th sts., new york, middle eastern,367
two two two, 222 w. 79th st., new york, american,368
uncle bills pancake house, 1305 highland ave., manhattan beach, diners,599
uncle nicks, 747 9th ave.  between 50th and 51st sts., new york, mediterranean,64
union square cafe, 21 e. 16th st., new york, american,65
valentino, 3115 pico blvd., santa monica, italian,21
van goghs restaurant & bar, 70 w. crossville rd., roswell, american (new),717
veggieland, 220 sandy springs circle, atlanta, vegetarian,718
venetian, 3713 w. sahara ave., las vegas, italian,450
veni vidi vici, 41 14th st., atlanta, italian,93
venieros pasticceria, 342 e. 11th st.  near 1st ave., new york, coffee bar,369
verbena, 54 irving pl. at 17th st., new york, american,370
vertigo, 600 montgomery st., san francisco, mediterranean,523
veselka, 144 second ave., new york city, ukrainian,650
vicolo pizzeria, 201 ivy st., san francisco, pizza,751
victors cafe, 52 236 w. 52nd st., new york, latin american,371
vida, 1930 north hillhurst ave., los feliz, american,170
vince & eddies, 70 w. 68th st., new york, american,372
virgils, 152 w. 44th st., new york, american,66
viva mercados, 6182 w. flamingo rd., las vegas, mexican,451
vivande porta via, 2125 fillmore st., san francisco, italian,524
vivande ristorante, 670 golden gate ave., san francisco, italian,525
vong, 200 e. 54th st., new york, american,373
water club, 500 e. 30th st., new york, american,374
water grill, 544 s. grand ave., los angeles, seafood,600
wa-ha-ka oaxaca mexican grill, 2141 polk st., san francisco, mexican,752
west beach cafe, 60 n. venice blvd., los angeles, american,171
westside cottage, 689 ninth ave., new york city, chinese,651
west, 63rd street steakhouse 44 w. 63rd st., new york, american,375
white house restaurant, 3172 peachtree rd. ne, atlanta, diners,719
windows on the world, 107th fl., new york city, eclectic,652
wollenskys grill, 205 e. 49th st., new york city, steakhouses,653
world wrapps, 2257 chestnut st., san francisco, american,526
wu kong, 101 spear st., san francisco, asian,527
xunta, 174 1st ave.  between 10th and 11th sts., new york, mediterranean,376
yama, 122 e. 17th st., new york city, japanese,654
yank sing, 427 battery st., san francisco, asian,528
yaya cuisine, 1220 9th ave., san francisco, greek and middle eastern,529
yolies, 3900 paradise rd., las vegas, steak houses,452
yoyo tsumami bistro, 1611 post st., san francisco, french,530
yujean kangs gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian,22
zab-e-lee, 4837 old national hwy., college park, thai,720
zankou chicken, 1415 e. colorado st., glendale, middle eastern,601
zarela, 953 second ave., new york city, mexican,655
zarzuela, 2000 hyde st., san francisco, mexican/latin american/spanish,531
zen palate, 34 union sq. e at 16th st., new york, and 212/614-9345 asian,377
zoe, 90 prince st.  between broadway and mercer st., new york, american,378
zuni cafe & grill, 1658 market st., san francisco, mediterranean,532
name,address,city,cuisine,unique_id
21 club, 21 w. 52nd st., new york city, american (new),23
abruzzi, 2355 peachtree rd. ne, atlanta, italian,74
alain rondelli, 126 clement st., san francisco, french (new),94
aquavit, 13 w. 54th st., new york city, scandinavian,24
aqua, 252 california st., san francisco, american (new),95
arnie mortons of chicago, 435 s. la cienega blvd., los angeles, steakhouses,0
arts deli, 12224 ventura blvd., studio city, delis,1
aureole, 34 e. 61st st., new york city, american (new),25
bacchanalia, 3125 piedmont rd., atlanta, californian,75
bel-air hotel, 701 stone canyon rd., bel air, californian,2
bones restaurant, 3130 piedmont rd. ne, atlanta, steakhouses,76
boulevard, 1 mission st., san francisco, american (new),96
brasserie le coze, 3393 peachtree rd., atlanta, french bistro,77
buckhead diner, 3073 piedmont rd., atlanta, american (new),78
cafe bizou, 14016 ventura blvd., sherman oaks, french bistro,3
cafe claude, 7 claude ln., san francisco, french bistro,97
cafe des artistes, 1 w. 67th st., new york city, french (classic),27
cafe lalo, 201 w. 83rd st., new york city, coffeehouses,26
campanile, 624 s. la brea ave., los angeles, californian,4
campton place, 340 stockton st., san francisco, american (new),98
carmines, 2450 broadway, new york city, italian,28
carnegie deli, 854 seventh ave., new york city, delis,29
chanterelle, 2 harrison st., new york city, french (new),30
chez michel, 804 north point st., san francisco, californian,99
chinois on main, 2709 main st., santa monica, pacific new wave,5
chins, 3200 las vegas blvd. s., las vegas, chinese,67
ciboulette restaurant, 1529 piedmont ave., atlanta, french (new),79
citrus, 6703 melrose ave., los angeles, californian,6
coyote cafe (las vegas), 3799 las vegas blvd. s., las vegas, southwestern,68
daniel, 20 e. 76th st., new york city, french (new),31
dawat, 210 e. 58th st., new york city, indian,32
delectables, 1 margaret mitchell sq., atlanta, cafeterias,80
felidia, 243 e. 58th st., new york city, italian,33
fenix at the argyle, 8358 sunset blvd., w. hollywood, french (new),7
fleur de lys, 777 sutter st., san francisco, french (new),100
four seasons, 99 e. 52nd st., new york city, american (new),34
fringale, 570 fourth st., san francisco, french bistro,101
georgia grille, 2290 peachtree rd., atlanta, southwestern,81
gotham bar & grill, 12 e. 12th st., new york city, american (new),35
gramercy tavern, 42 e. 20th st., new york city, american (new),36
granita, 23725 w. malibu rd., malibu, californian,8
grill  the, 9560 dayton way, beverly hills, american (traditional),9
hawthorne lane, 22 hawthorne st., san francisco, californian,102
hedgerose heights inn  the, 490 e. paces ferry rd. ne, atlanta, continental,82
heera of india, 595 piedmont ave., atlanta, indian,83
indigo coastal grill, 1397 n. highland ave., atlanta, eclectic,84
island spice, 402 w. 44th st., new york city, caribbean,37
jo jo, 160 e. 64th st., new york city, french bistro,38
katsu, 1972 hillhurst ave., los feliz, japanese,10
khan toke thai house, 5937 geary blvd., san francisco, thai,103
la caravelle, 33 w. 55th st., new york city, french (classic),39
la cote basque, 60 w. 55th st., new york city, french (classic),40
la folie, 2316 polk st., san francisco, french (new),104
la grotta, 2637 peachtree rd. ne, atlanta, italian,85
le bernardin, 155 w. 51st st., new york city, seafood,41
le chardonnay (los angeles), 8284 melrose ave., los angeles, french bistro,12
le montrachet bistro, 3000 paradise rd., las vegas, french bistro,69
les celebrites, 155 w. 58th st., new york city, french (classic),42
lespinasse (new york city), 2 e. 55th st., new york city, asian,43
locanda veneta, 8638 w. third st., los angeles, italian,13
lulu restaurant-bis-cafe, 816 folsom st., san francisco, mediterranean,105
lutece, 249 e. 50th st., new york city, french (classic),44
lorangerie, 903 n. la cienega blvd., w. hollywood, french (classic),11
manhattan ocean club, 57 w. 58th st., new york city, seafood,45
march, 405 e. 58th st., new york city, american (new),46
mary macs tea room, 224 ponce de leon ave., atlanta, southern/soul,86
masas, 648 bush st., san francisco, french (new),106
matsuhisa, 129 n. la cienega blvd., beverly hills, seafood,14
mesa grill, 102 fifth ave., new york city, southwestern,47
mi cocina, 57 jane st., new york city, mexican,48
mifune, 1737 post st., san francisco, japanese,107
montrachet, 239 w. broadway, new york city, french bistro,49
nikolais roof, 255 courtland st., atlanta, continental,87
oceana, 55 e. 54th st., new york city, seafood,50
palace court, 3570 las vegas blvd. s., las vegas, french (new),70
palm  the (los angeles), 9001 santa monica blvd., w. hollywood, steakhouses,15
panos & pauls, 1232 w. paces ferry rd., atlanta, american (new),88
park avenue cafe (new york city), 100 e. 63rd st., new york city, american (new),51
patina, 5955 melrose ave., los angeles, californian,16
petrossian, 182 w. 58th st., new york city, russian,52
philippe the original, 1001 n. alameda st., chinatown, cafeterias,17
picholine, 35 w. 64th st., new york city, mediterranean,53
pinot bistro, 12969 ventura blvd., studio city, french bistro,18
pisces, 95 ave. a, new york city, seafood,54
plumpjack cafe, 3127 fillmore st., san francisco, american (new),108
postrio, 545 post st., san francisco, californian,109
rainbow room, 30 rockefeller plaza, new york city, american (new),55
rex il ristorante, 617 s. olive st., los angeles, nuova cucina italian,19
ritz-carlton cafe (buckhead), 3434 peachtree rd. ne, atlanta, american (new),89
ritz-carlton dining room (buckhead), 3434 peachtree rd. ne, atlanta, american (new),90
ritz-carlton dining room (san francisco), 600 stockton st., san francisco, french (new),110
ritz-carlton restaurant, 181 peachtree st., atlanta, french (classic),91
river cafe, 1 water st., brooklyn, american (new),56
rose pistola, 532 columbus ave., san francisco, italian,111
san domenico, 240 central park s., new york city, italian,57
second avenue deli, 156 second ave., new york city, delis,58
second street grill, 200 e. fremont st., las vegas, pacific rim,71
seryna, 11 e. 53rd st., new york city, japanese,59
shun lee palace, 155 e. 55th st., new york city, chinese,60
sign of the dove, 1110 third ave., new york city, american (new),61
smith & wollensky, 797 third ave., new york city, steakhouses,62
spago (los angeles), 8795 sunset blvd., w. hollywood, californian,20
steak house  the, 2880 las vegas blvd. s., las vegas, steakhouses,72
tavern on the green, central park west, new york city, american (new),63
tillerman  the, 2245 e. flamingo rd., las vegas, steakhouses,73
toulouse, 293-b peachtree rd., atlanta, french (new),92
uncle nicks, 747 ninth ave., new york city, greek,64
union square cafe, 21 e. 16th st., new york city, american (new),65
valentino, 3115 pico blvd., santa monica, italian,21
veni vidi vici, 41 14th st., atlanta, italian,93
virgils real bbq, 152 w. 44th st., new york city, bbq,66
yujean kangs, 67 n. raymond ave., pasadena, chinese,22